"first_name","last_name","hire_date"
"Moto","Aamodt","1986-05-29"
"Foong","Aamodt","1986-06-28"
"Jaideep","Aamodt","1986-07-16"
"Valeri","Aamodt","1986-07-28"
"Qingxiang","Aamodt","1986-03-05"
"Theron","Aamodt","1986-03-16"
"Dietrich","Aamodt","1986-12-07"
"Parke","Aamodt","1986-11-04"
"Shmuel","Aamodt","1986-05-27"
"Fatemeh","Aamodt","1986-05-07"
"Arvind","Aamodt","1986-11-20"
"Arumugam","Aamodt","1986-01-09"
"Menkae","Aamodt","1986-02-07"
"Luise","Aamodt","1986-07-27"
"Maik","Aamodt","1986-06-20"
"Danco","Aamodt","1986-10-10"
"Salvador","Aamodt","1986-03-16"
"Marek","Aamodt","1986-01-31"
"Mahmut","Aamodt","1986-04-10"
"Kazuhito","Aamodt","1986-12-02"
"Huican","Aamodt","1986-12-12"
"Somnath","Aamodt","1986-01-15"
"Rajmohan","Aamodt","1986-05-22"
"Elzbieta","Aamodt","1986-04-29"
"Basant","Aamodt","1986-12-25"
"Bezalel","Acton","1986-05-21"
"Huiqun","Acton","1986-07-25"
"Piyawadee","Acton","1986-01-13"
"Tremaine","Acton","1986-06-06"
"Oldrich","Acton","1986-01-14"
"Kwee","Acton","1986-07-03"
"Mayuko","Acton","1986-12-01"
"Behnaam","Acton","1986-01-16"
"Pragnesh","Acton","1986-11-04"
"Xiahua","Acton","1986-07-07"
"Kensei","Acton","1986-05-20"
"Ulises","Acton","1986-01-14"
"Janalee","Acton","1986-12-28"
"Rance","Acton","1986-12-21"
"Van","Acton","1986-08-06"
"Jixiang","Acton","1986-04-24"
"Katsuyuki","Acton","1986-12-25"
"Volkmar","Acton","1986-10-17"
"Honesty","Acton","1986-12-22"
"Margo","Acton","1986-07-25"
"Hidde","Acton","1986-08-10"
"Shaz","Acton","1986-08-10"
"Hairong","Acton","1986-05-15"
"Shaz","Acton","1986-10-27"
"Yannik","Adachi","1986-01-10"
"Tommaso","Adachi","1986-01-16"
